
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=20c68797-61f0-4203-a09a-68f640621a79 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=afb9ab13-dbe8-4428-ae8c-991ae516a494 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=effaaf98-e490-49c7-af5a-a4147507bbee | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2522ed0c-56b6-4ba6-a162-be0c3fef786a | GET /metrics | status=200 | durationMs=0 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=48775c7d-430c-4c3a-a264-1904fb33d9ca | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b0ae35bd-3b84-43bc-a31c-5cc5a41f88cb | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=25d866f3-6525-4c56-a085-34b6b9183fca | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b2ccece9-cdd4-42c7-af15-38b8b26e91f8 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=afc5313b-8256-4c4c-8b63-f24016e58d7d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2f27390e-0722-4f33-bfeb-ca8c44d0191c | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ad56fc17-4296-48e7-81d5-6dde254e0fa1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=621e12e2-962e-4780-acf3-37f969d7d4b4 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5aa4141d-a3a2-4e43-90ee-c76c06211c1d | GET /api/catalog | status=200 | durationMs=15 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ece8f12f-6d8c-42e8-995c-1c9802e6995f | GET /api/catalog | status=200 | durationMs=22 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1874d4da-3144-4ff2-ad06-8b4c13888db3 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=82f3b49c-4c77-4fd9-bbbf-75426f6f396f | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5465404e-6843-4974-b239-866286cc1c8a | GET /api/catalog | status=200 | durationMs=21 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4cffc591-7bc2-4abe-aec5-95f671f7321d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8a3daec9-2a64-4654-85b3-bc7a7550211e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7f829aac-bd76-4de7-8fa7-f00b8ad2c769 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ac996658-ac66-439d-9ab2-c5e19f126a71 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c77e338f-1024-481a-90eb-0d2ec28d9798 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=544109cd-57e0-4d52-912b-04f009b88be4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6df56039-9c71-43a1-9d4c-685fab69e5c0 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e7b196c6-b60f-4f6e-8afa-d21117d9ee65 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ba8e028b-28cf-410a-9d33-0b5b9f329c52 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7019c72a-1227-413c-aa94-11cb5500d601 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0e2c0502-239b-4ac4-af94-f47bc1dc8047 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e6a024ce-9dca-487b-9437-742eea146d87 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=53e79b18-97ac-46e2-9ba3-836a4f123e98 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6ceda8f2-08ea-4c21-aa9f-00aec4c3db85 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c309240b-6477-4497-93b3-b1060bd3ebe3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=58e8af8c-7ca5-4751-a6c6-435e7d763cbc | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a573577d-5f06-41fb-8222-647182380ce4 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e228c860-cd6a-4bbb-a183-a3edd03bc0e3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9dee0a48-f00a-4cac-b55f-37d81c0478c2 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7ede90bb-db9a-4478-a036-05b4ab8ba257 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ac6204e3-fc94-4477-93fd-aa124f72ac8b | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c1201391-38b2-4866-be1d-7e97e516ab15 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2873ff98-5506-47ce-9f99-180ebc9ddc6b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1804c5c8-b021-4abb-99d9-1806fdb23b68 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8608c323-1255-4e1a-a256-b3010b1788b0 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4b27fb60-b771-4262-9700-4f7e4dab4ea6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=31458a5b-746a-4f8d-b130-0a538d56ea6b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=92f1f729-fbf5-4b8b-aeb6-1f193e4d3bba | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=41ab28ce-e6cb-4804-abb2-e6f156711bbf | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=edc20cca-ea7d-4835-be2b-b7c48ab2df9a | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=130b6304-6f43-4c05-affb-6590af154df0 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a4b52e7e-956b-46a8-be4f-b3d4c8338121 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3874bf2b-2a52-4f8a-87f5-c61ead3f7760 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7211639a-980c-4e62-9bf1-1b8c06b4fe6c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
