gateway listening on port 3000
gateway request | id=28f01ee0-155b-4165-8125-426b183c5431 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b9485326-cb30-4b7e-9410-7d281d61a521 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=11efc991-b4d1-460b-b72f-a436115a3d4c | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e99c5948-7dc3-41bb-9285-2c2d4c3868c3 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f4f2645e-eb5a-47c5-945c-27745fe104ed | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d13287c0-d2f3-43a1-baae-bc35b41a879c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dc24b8ec-0f4c-4501-bd73-6bac3c7c6168 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7fb99243-c807-4832-b484-de2b978ad2cb | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0b5530fa-805e-42c9-b131-de520cb4efff | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=02fcb227-ffbb-4f59-b081-a3065cf1cfd1 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7e26c0cb-820a-413d-a748-efa82672bdeb | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f1bc5d2c-1ead-46b6-9f81-8bf4dabd5489 | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6d9dbebc-0106-4c11-ad9f-cb15938657f6 | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bd720f78-3f77-4916-8378-9b5d963f1ea9 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4897925d-65c8-4402-b20f-debf0438925e | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=40c9c6af-2b23-4892-b76c-0815b6b51d03 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7b2a2466-7c82-4c06-a45b-abaecff87d8a | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=33018eb8-8a8c-4dbf-b8dc-859ed55912ac | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e4915c7b-d03a-408f-8123-5c38c680dd7b | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e6f76e3e-34ce-4325-8997-4be4111dec8e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fc7b9e19-131c-43cf-b002-b894bfa36f47 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4cc8ef82-7bd6-4c51-b375-590f50358250 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8df3e5d0-3e2b-4e8e-9bdb-cd0d52219cee | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9e3b4254-57a3-493d-84df-06f2e304973e | GET /api/catalog | status=200 | durationMs=19 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2da810ef-c42b-445b-968f-dfa01390f488 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=822a7470-11e4-4ef4-88ff-aaa0a5bd8d14 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9ee6ebe5-aadd-4d16-995f-65e812893613 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f1f601b9-f352-45a4-99f9-1334a35a0ce9 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bac9bfda-1dd1-46a9-b5f3-07e82f5ee6e8 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c3bca4e7-4f2b-48d9-ae33-d29c27da320e | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=01bb3b5f-f4c0-4ad2-b1db-8ca18bab663f | GET /api/catalog | status=200 | durationMs=11 | upstream=catalog | cache=HIT | source=redis
gateway request | id=64ab56d6-df9c-439c-a283-4e4c317ba8e2 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3acf9e57-5a4a-4d47-aa55-d3cac94c67b6 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=50a529fd-11bc-4d8a-a12e-b432d7c11e49 | GET /api/catalog | status=200 | durationMs=16 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9300ee84-4045-4a18-9fa2-02e7369eee9d | GET /api/catalog | status=200 | durationMs=14 | upstream=catalog | cache=HIT | source=redis
