users listening on port 3002
users request | id=92ed8c92-9b65-4929-bce6-8a5b2b63c41b | GET /users/1 | status=200 | durationMs=0
users request | id=562f174f-17b2-4e6a-96d3-6c6d894c587e | GET /users/1 | status=200 | durationMs=1
users request | id=48707ec9-8028-4b13-8fd0-6f09b23cee43 | GET /users/1 | status=200 | durationMs=0
users request | id=33d62739-7d71-407d-92af-835300f8f9b7 | GET /users/1 | status=200 | durationMs=0
users request | id=a721a7e3-dfd3-4fa6-b82c-7958af435405 | GET /users/1 | status=200 | durationMs=0
users request | id=39808bf4-c53d-42c3-b52e-501a1a8ea11c | GET /users/1 | status=200 | durationMs=0
users request | id=dce089b1-1ad0-48a2-a520-142dd97ce0f8 | GET /users/1 | status=200 | durationMs=0
users request | id=bb4289ef-c47a-4640-aba0-8e58792c3f07 | GET /users/1 | status=200 | durationMs=1
users request | id=72819dd6-0fe3-4298-b6b1-ecf786d77463 | GET /users/1 | status=200 | durationMs=0
users request | id=7965225a-9c3f-401d-b425-676139d6db5a | GET /users/1 | status=200 | durationMs=0
users request | id=5f094c6a-dea6-439f-9792-150723cadc30 | GET /users/1 | status=200 | durationMs=1
users request | id=7e87f961-bb02-420b-809d-b26c15ac762b | GET /users/1 | status=200 | durationMs=0
users request | id=0a4e3780-9980-4f04-a743-735275bdf78f | GET /users/1 | status=200 | durationMs=0
users request | id=95fd6bf4-4d83-4520-922b-fac3ae7a24b9 | GET /users/1 | status=200 | durationMs=0
users request | id=60c0bf6e-8379-4704-bd51-46068afff89b | GET /users/1 | status=200 | durationMs=0
users request | id=ddf4865b-d03d-4255-92f5-af79cbac9a6e | GET /users/1 | status=200 | durationMs=0
users request | id=66393f5b-c462-4569-bdab-810cf1379aa7 | GET /users/1 | status=200 | durationMs=0
users request | id=8a4b47d5-48b3-43fa-a837-16ed2e1a7713 | GET /users/1 | status=200 | durationMs=0
users request | id=873a1bd6-df6e-4ddd-82a8-961e15b19c19 | GET /users/1 | status=200 | durationMs=1
users request | id=0704308b-bb5a-47bc-a02b-d41eba5c2310 | GET /users/1 | status=200 | durationMs=0
