catalog cache disabled
catalog listening on port 3001
catalog request | id=8acb3fa6-f0ed-42eb-b217-1ec43ac30812 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=095614bb-f24e-4791-9e26-b5aebe033415 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=420cb0b1-5f9b-41ec-bcfa-854a2f95d2da | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a98a22fd-c3f4-4973-9ecb-3d1dbee61657 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=39257dbd-eece-4e83-b370-6501fe371844 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94dc0cac-1cbf-42f8-90cc-af9e361ec140 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5feea0b3-3958-4c76-8a67-ac0053690ef7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d070180e-bbb9-4dd2-870b-de8793d37a1f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c4813ade-10ed-4daa-a65c-dc2db65b1757 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b9609776-c119-441d-af2e-b6ea16d36075 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=593f05c9-6355-475a-8dcd-e4180ba386db | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5964c6e7-e13a-4e15-bd6d-ccb21a255e63 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb33d735-e0ff-4fe0-bc04-efc2c5019128 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3fb5fc35-a79e-4a2d-8ce4-24d2fed75cb4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8d2a7ff6-20d2-4343-82c2-5f93503e7ce8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=63e71dfb-8e77-42b9-973d-1bf2ed7fd83c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d17d1976-cc56-4922-b8f0-ed03013b5607 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ba4a7006-9abb-447a-9318-fd3cbb17a69e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ba26acec-d1eb-497b-bc65-2dfb12a2e13d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8aefb0fa-56d1-407c-a2f0-66db2d447257 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ff9c32e-7276-4b7a-9c36-1a13e55fdc98 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8fabd87b-71ae-4a29-bf45-0877d44ffac8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d8a650bc-a6ca-4ad0-87a7-695c06f73130 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=65c309f2-c617-4b93-9dec-70edcd80d175 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=23197ab0-1e2f-4ed3-ac88-758fd92f7472 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=672cdca3-830a-4a2f-a486-880e5e858656 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e9a3e018-0607-409b-9c01-db9e166c09e9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d5fab422-5159-495b-baa3-ae13bfbd7814 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75567215-5988-4fb3-96c9-41cb71b30097 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b33a9a46-e5bd-4032-a34e-5b6383bb17af | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=df120026-324c-4823-839d-bcf5bd7f5576 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d6fc32f0-bf4b-4322-ba72-af23bf670880 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b5b71417-632e-4512-8040-6b6c9bcff818 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5f471676-96b9-4414-ae8e-6d6171d5c0d3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2e0a5063-2747-4609-a67a-44d0e7eb4ba2 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b25ddb34-6ff2-4b26-8efe-6df17ec598a5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fb08517a-babf-45b8-a5eb-bba7aa285e42 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=57f3b4d6-c9d8-4891-a337-c33d815e2cdd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ee406687-c881-48ad-882f-1ad7757d54ad | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4a84151e-d19c-4803-9dd9-358e6a1ea0ca | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b63240e0-0712-4937-931c-9eb7effc4c24 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ed4e52d1-0bb2-464d-a786-828426a199a7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a9adeb4a-f1c7-46d0-bb33-6815f8237732 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=46577159-7394-4247-a281-279fbd7ab442 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6c66474f-708c-48a8-b9a9-ab9c96a3703e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b01ed534-4425-456a-b7cb-b5d5a17d4b37 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=43b46ef9-d2e2-49d0-aea0-eda6e718ae94 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a107c95f-40f6-4153-8d10-12cdd1e9832d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=000deb49-99ad-4003-90d2-17a37e2c3a38 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=130bfd23-dd08-4988-a0a8-a0e1f576aaa7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9e6da935-0f86-4277-9177-a3c037687709 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4fa1211b-7de2-4341-abfd-5da0bf641c8f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b10ff8e0-e18f-4b8a-9682-6ccb227a11b9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=225d693f-8dc1-41e3-9976-1a61d566e9a4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7129611e-115c-4b53-a1c1-a04557fbf0d1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a43be48d-b018-4dfd-968a-438ebd4e049b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
