
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=2d650885-3841-4575-8e8c-0fc60bdb54b2 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a1448ea3-112f-47ac-8c0e-91ff17c13ee9 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=35dd1ed0-9ba2-4760-a4b8-04ecc0464d20 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0f678602-4061-45b3-acbf-588058dc8f35 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=61ddd2f6-14e9-491a-a17c-18d32f783fdc | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0dd66a67-37b0-4910-bf0d-645e295ae714 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a0b2b11-56ef-40ec-a992-f1ff8ed4eb33 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1f1436f2-8a4d-4a0b-a730-29127cf3694d | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=90b50681-e48d-4751-b9ea-ac7a6d052419 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4839b9db-e74c-4d88-b4be-2ab05e6c7d08 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6a667f19-f147-4b73-918a-514f0107fcdd | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=791404e6-2212-42bb-8483-c35ab7d5591e | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=65998c57-1bbf-4622-ac6f-b504723d86ca | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b19c8301-3d48-4af3-95a8-9e6d273ae5f9 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d0fa8919-4b7d-4f2c-8c6d-59a2141efb52 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=220da311-ef90-4b03-b0a4-a37ddcacc951 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bd1e3a48-64a8-4fb9-a58d-1ffffd73433c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8492311-3f34-4c85-ba17-be9ecb2d71c5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4c84eb1a-a13b-429f-8973-7d301cda87c1 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3efc7372-6603-4c8d-bdeb-65902641ff00 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=18a24ffc-d0d2-45e4-8e43-d5063ee44cf8 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=02326fae-38d8-4dd4-8759-3a368ae51bdc | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2d9ed2bb-430a-4f28-afd4-3c9626a91693 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=803e77d7-e6dd-4638-9041-d926a2d9c953 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0b2f0e2d-231a-4de2-8da7-cc0101867220 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a9c8d435-4020-47a6-a343-4f464578a9e3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=HIT | source=redis
