catalog cache disabled
catalog listening on port 3001
catalog request | id=e7da9baf-7f47-4058-9754-ab7729c12360 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb797ad5-cd8d-4ed7-a018-e1175480f655 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=96597441-7049-490b-8104-59ede6bb4b1c | GET /catalog | status=200 | durationMs=6 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d474ca45-7c21-4134-941e-b8e47f4112f5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=49a42148-2c06-4791-b256-8193edb07f85 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=609ab2b3-a646-44bc-b5a3-e0449e096ef5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=85cd94ef-71f6-4f71-9226-1f9ecdff74f3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f2c54203-0319-4965-952b-0de8a7807e7d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2017b5dc-d337-441d-acfd-cd6cb0971ac7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=53f1ccb0-1848-45f0-9e34-dbf5da00a5e9 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=64be5001-39ba-4759-9014-7dd5373c92ee | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f29607cc-b001-401d-aeab-a994cea57f87 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ca60f9a3-3d7b-4e58-ace8-9997cd88320a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4cdb42e2-846e-4df9-a4b7-fb8dca72c023 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a65bc781-eaf7-4456-96c2-b07ca7e30155 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=323cd1ff-462f-4da6-84be-5ca1d4c37a75 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2df62eaf-b8a4-4251-912e-c7f0d2291dca | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ea9ecdec-d3f4-4b44-9c5c-f444f8a8c503 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8ec282c0-2caf-4b1f-84ad-71c4e6046107 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=54e2c945-7bf3-41ee-a4ae-eb6ffdab072e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7a1fbfaf-3610-4ebb-a52a-ec783ca12ef5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b83babb1-4abd-4392-9fa8-87ce29504c0d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=141e0fbe-56b9-47d3-88c9-1bb5c9d074b0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=00700dd0-6a2a-4f00-81af-1faffa51f738 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=97881c7f-0724-4a3d-a355-bed405b9071e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a01f8b05-22c4-4576-b435-1be38a06bca0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f191ce1a-7b81-49f5-b845-f8bb8068fe76 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1ec675e3-b7b0-4906-91f3-e4a2248bee4c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fb84d2f9-605d-47b4-bc31-2da86c285aa3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8a45a057-4d81-497d-9f07-baf9a883d08d | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb2d5ed6-41bd-408d-9a76-b7822cf02a01 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=908419ee-e193-4a88-b8fe-3d8e1f92c8e8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b81f3f9-1068-4d48-89e6-104f6bdfb70d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6308b73e-c3f3-4ec1-83f5-69a15ea9d63d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=059beed2-e3fa-4ae1-b4d0-bd9d1e9b4539 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3f3c8ff6-f69d-45be-950d-07062cdbe864 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=28abdf2b-fcf8-41c1-9148-70304d98effe | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e92b4b66-1eed-4ab9-840f-5ea5cfd8b00a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=edf4ab06-d54c-4d06-b981-31d595af6df4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f17e4ceb-4b30-48e9-8d20-cf02124c2adb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dc489001-587a-4dcb-90ee-a7bb8744c6a8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d862c141-e2d3-4217-a825-163a01bd0f64 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=15545835-15e3-45e2-a0e4-0f3c19cfb66f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=36071bb0-a775-4bb6-af94-53d1ca0f7040 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef8d86f9-b111-4798-bfe6-3c9d46cdc090 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=36b2efb8-1a5a-46c3-8908-41b2da4082ea | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bbddde2e-740c-433e-9914-b2ff1a4e912c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=01dce6b5-ea53-42ca-ac25-26f46297998c | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3425696e-0bb3-4978-8fbd-4458113bcf9d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ed73a210-cf4a-4e02-9460-9ca33b23b5cb | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9481a395-2d3d-48ff-93db-1066a4e27564 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a200bc0f-f229-4392-beb0-91564e4dc145 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2d91740b-30b5-4ada-b92b-871993acd7fc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6aa2d03f-d7a1-47e4-90ec-6076fbb80a31 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=12c07d27-4880-4a59-b810-f077c9b05d59 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
