catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=335d9558-00b7-4621-8ea9-f81e8077b96d | GET /catalog | status=200 | durationMs=4 | cache=HIT | source=redis | key=catalog:all
catalog request | id=94c0895c-d886-47f8-8698-dda3ef878e9a | GET /catalog | status=200 | durationMs=7 | cache=HIT | source=redis | key=catalog:all
catalog request | id=3ed88393-96d5-45f9-be97-6c5614bc6823 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=2d31f4c4-0d12-423d-8fdd-eb1df8b37b01 | GET /catalog | status=200 | durationMs=6 | cache=HIT | source=redis | key=catalog:all
catalog request | id=b2cc5176-6d2b-4875-9fd9-b398a26f96c4 | GET /catalog | status=200 | durationMs=25 | cache=HIT | source=redis | key=catalog:all
catalog request | id=fcc94760-c01e-483e-8c25-4463ce6864ce | GET /catalog | status=200 | durationMs=10 | cache=HIT | source=redis | key=catalog:all
catalog request | id=267d626e-f543-4bde-bb80-d5a5983804e5 | GET /catalog | status=200 | durationMs=26 | cache=HIT | source=redis | key=catalog:all
catalog request | id=03c8cb4e-278e-46b2-bd22-8435f3ba1467 | GET /catalog | status=200 | durationMs=27 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8ad16f80-a13d-4a16-ae6e-bf37092fcf00 | GET /catalog | status=200 | durationMs=5 | cache=HIT | source=redis | key=catalog:all
catalog request | id=906c2fb6-ffb7-4b79-8968-38aaed99cc0b | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=658f7301-4ecc-4e06-8511-e68df1bd432a | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=0b6c160e-d63b-4c83-864f-dade6ef95705 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=6d4e4fa0-d5aa-4249-8c13-0e617c01aded | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=bcd887f2-3f38-4fe0-812e-e45756c6d02a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=29823be6-007b-4daa-bba3-e4f61c780e99 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=7d3b2716-bf06-458f-81ef-312d33c49e0a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=703303ef-00da-4464-b77f-d63b03bf4ae4 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=442ad523-e3d3-4e36-8d35-c8f22e138d0b | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=ea11189e-520f-49b7-9baa-618fe7641ebe | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=85875b44-64a9-4734-9d1e-1b4fb2e6ad3b | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4cefa06d-11b6-4ad3-9906-9b6301c6ef4a | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8caf55f6-69f2-434c-bd47-c08b1d90d445 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=43369d57-dc61-4ed1-92c3-71671f5b488f | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
