catalog cache disabled
catalog listening on port 3001
catalog request | id=3f3a1981-e9d6-45ac-8641-582850717924 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=813c0e38-2c29-480c-8e8a-edf25aced245 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ac4c5af7-86e3-4c88-898d-4672808e09f4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c2b1acd8-cb34-401d-9758-3586a4b384bf | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=29714d4b-2d9e-41a1-9b29-dfc47e6964f4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fcb4104e-90fb-42f3-a5a1-6bbdccea544b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=afbe45bf-520a-4734-ab49-b793e02ca2c8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=506ff054-b654-4a80-b98b-2dffd76378bc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f486ac12-49f7-4f50-ab6b-c393c6e4f990 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9419fab1-19dc-402f-85d0-9e174df84bac | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=112d5931-17b4-4e1b-a54c-f7596fa225c8 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cc5b5f35-75e1-49f0-96c1-27c3c0b84676 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7791bb39-5e48-4476-96b4-8138fb4fac5e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f3d6ceeb-11fa-45a4-ab12-fcae79ee39d4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b06f42fe-adda-422f-b009-c1dac9d121a2 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0da223cc-0259-49f5-a89f-1ad93e8acf7c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=33bb933b-a492-4d95-ab32-aa8e1127e040 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4d94eb30-937a-46d9-8687-f5c5bc2044fd | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c195571b-4cbe-4a6a-8b52-dd736352db1a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fff0659e-9d65-4094-92a8-6b6a68a16a6a | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4b9926de-53da-4016-a597-fdb0ee5e29b7 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=167038d6-b435-4894-be0c-29821bef72fc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2dd2da71-fc92-4cf7-87f7-d9c08df81edf | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eec1b27c-3642-487a-b8de-25554259ab0d | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d99b78e9-397f-43ce-bdb9-9b4cb11c521b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9f21b3c5-6e9f-429f-9de7-521cb05358a9 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3685a9c6-9270-423b-abb7-864c8d2a2e21 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=33606a8b-edb8-4a69-ba84-438c0f2236b4 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bf4b31d6-ec49-4b8b-b5de-27ef316b37bc | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=10e0f34b-6f6d-44f5-93c1-cfdc9fcfe5af | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=013f60c1-a1fa-4a44-88a8-69e96016555b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=41693668-ea1d-48c7-aa06-27403be67c25 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=51491484-3e48-4f36-86d3-036287d39a3e | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1759043c-0817-48f2-85fb-8c2da92a32a0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4ac5610f-a493-460c-b8bb-2951d054edb0 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=506d7dc3-ce3d-4674-8e91-54424a4c1b77 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e5e0823b-de9e-41c5-8300-055bd79dcb23 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f4fb0944-9869-4d64-b424-61a92d5aad00 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cfc5c7ff-13ea-471a-bd1c-a9f628f1643f | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3cdc6cb9-5275-4f0a-9e10-3b89a038c787 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=34747ec7-95f9-42ea-b8f7-d1c9089bbbdb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=be206f91-9c09-4d98-b99c-7581118e3843 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=15ffc9ab-84ea-4477-8d90-90ad15ed59bc | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b6a4f47d-00e0-4922-ac3e-05f4b6f4797b | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4cda3c80-775b-4299-a898-7fbd5b36d4a0 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=66939852-42c3-4591-af52-09a495b58fca | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75223614-68fc-4911-b262-8ec8118f4b46 | GET /catalog | status=200 | durationMs=0 | cache=MISS | source=dataset | key=catalog:all
