gateway listening on port 3000
gateway request | id=98bf30d1-21b4-46fa-b781-10982d93753c | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8a9391e2-8ba7-46e9-aded-3764b4f4eae2 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f11e4470-6552-46e1-889e-fbb377d658e9 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a82a695-7d08-46a6-807b-aa05f19b9250 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=03b588bc-cf1f-41a6-84d5-913fbd15e80d | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fffceccc-9683-4577-b55a-b00c1a0dfbdb | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3a03c47b-ebb4-4d20-83c3-cc3b911e7fae | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=34d333e3-deec-4cd2-a97f-9dab39ad92e1 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e20a8d81-ba44-4d65-a2b9-3a6391813780 | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4be21e54-ff02-4952-889c-b1e37709b7c7 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9ef94397-c5c7-4eca-9ce4-5780d0d3e5e6 | GET /api/catalog | status=200 | durationMs=12 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a6ba88cb-d097-4ab7-af6e-6ef372bc02f2 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=327ff41b-02ef-4869-b236-d7bf1d1ee8b2 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=edcca691-e5e6-42ca-b257-2adf1508ebe5 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4bbdb390-24d4-49f8-9aab-d641bf7bab7a | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f7d45617-9a9a-42df-bcf2-abb77c9fddca | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d6360554-5343-4e3f-a9a7-457e803e2860 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=728d6c79-b335-4ff2-adae-48c1f3ed2f90 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ac966a48-7df0-4747-bdd8-153eacdfaa2d | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5e039555-c7cf-4b26-a2a2-ed9ff96f5d60 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=07bf8ab5-b60d-41f5-a708-2875a150c171 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=18eaee45-348a-4c6a-9649-67699cf83410 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a39c9af-4bd8-4b91-8b61-3d320730afb5 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a3499c21-0b0e-4868-bd59-84bead3590fd | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8261db6-d3af-4f65-a9d1-08aa1f14cc13 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f6499a9c-8a20-4ef8-ac92-e1156030ad22 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2200acc2-0625-4bdb-98c7-477df4167ab8 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b701fd57-4744-4e65-bb38-773830eef5e3 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fa9ab309-b358-4793-8019-9dbfceec4d88 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
