catalog cache disabled
catalog listening on port 3001
catalog request | id=806267df-db1a-4fe6-a33e-7d0d50f7720c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a0fa0247-118a-4e30-b383-77e47d6be50f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1d0413b2-8f0c-47a4-b417-9092e6e1413b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2c7b5d4d-fcbc-4dbf-ad02-4328b9e0180e | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ddf9fae8-ffe1-4937-9c3d-432bda048b19 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=167a3838-1b75-4090-b897-3e22c4192100 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0128bddd-f32b-4722-86eb-e658bf2f09bf | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=26e4d9bd-237a-4e60-a8f8-d7e76e4aecb7 | GET /catalog | status=200 | durationMs=5 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=54dee7f8-6529-43bc-a8a2-ceb9d49386d8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=45a66035-d0f8-448d-aba6-1cd5c16c9ac4 | GET /catalog | status=200 | durationMs=5 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6816c326-006d-45ad-9d1e-93214e24854a | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75dd6cea-6977-4516-9c07-e99911f173cd | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c72b721e-7dc8-4bf1-b30d-48895ff8156a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c6b15ed1-2070-4b7c-a25f-70a6fc3fe0e5 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7fe85829-f502-4c27-a6e7-d9d19466d6ec | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c7bbcc94-96a8-45b3-a2a4-e0b619164591 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=135dba9a-e86a-4582-9242-e263e29e7df4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=71111483-e699-4231-aafd-d80cbb4dcee7 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=49ea9c3a-2233-4e7a-80dd-b0a3a9542d98 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a0455d9a-7475-41d9-80c1-156f4dbddd76 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=061587da-356f-4ce0-9a90-48ad2b00724e | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=060c9b86-5e17-4dc5-ad9a-a6580ddaa425 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=87205a93-1502-489a-9bcb-add053152ab6 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a7d09c8b-8ddf-4cc2-ac67-69976e725ed7 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c3afa56b-b44b-4bb8-b185-df3aa72cc147 | GET /catalog | status=200 | durationMs=15 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=584f1a81-0bb6-466f-be35-ba945e8f304e | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=29b968c3-f05f-477e-9342-b8337d9d48c1 | GET /catalog | status=200 | durationMs=6 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b6f22f54-c06b-4956-9c84-8f1845e60278 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=82256c3c-2f9d-4f09-8859-e539a3609a94 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
