gateway listening on port 3000
gateway request | id=f0b426df-3389-49db-83e5-78d6e96ae8b8 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=07fd75d9-5457-45f1-b807-d939ea52cf9e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0dd5ffc3-7a6b-4abf-96d5-07b44c88dfe7 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ba263c70-61e3-4897-be91-c745b76b652e | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0917a590-ff78-40a0-a7f8-f1646e46fe6b | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=48282b75-61b9-4d7e-a383-3dbbf823d35c | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=58c0870e-6da5-42c0-9bb3-8aaa392fa84a | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8368c3bb-65fe-4844-a213-e0b4f1320aff | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c56dd4a4-f1c1-4d6f-8981-02b4ad31247a | GET /api/catalog | status=200 | durationMs=9 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c887a73e-134a-4871-99ed-46bb2a724095 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8df04f56-64b9-45b4-ac82-1a6d362652a8 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=14d3b03d-8e4a-46e8-919a-37e2e1023984 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1202c2e8-1331-469e-b44c-8525ccd5b9d9 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d600f9da-61ab-42fc-b4f0-aa9294c17aba | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=041e38de-44e3-4435-8616-e3d50868065b | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=49603664-6f8e-43cc-8329-7cb961541525 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8663d27f-0601-43ae-9f65-ba8a02dfa4ef | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d08cf17e-4cb3-4636-b516-e5fd4a519513 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=48ee4acc-3d93-4945-b45b-23f47a3b3770 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9e42c290-b5d1-45d7-967e-179663610939 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c2b1cb1b-4d35-48f0-af60-57a95463cf5e | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3e937e92-8424-4641-8057-798bc55b45d8 | GET /api/catalog | status=200 | durationMs=10 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=76834a48-8611-49b7-8ae0-1ee84628759a | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5bd48cc7-16d1-461b-a2d1-26087977509c | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=MISS | source=dataset
