users listening on port 3002
users request | id=ec6d46c0-31e7-4ad1-af93-1f28182c2482 | GET /users/1 | status=200 | durationMs=1
users request | id=9845e656-a8d6-4b75-8a6a-b146c341e271 | GET /users/1 | status=200 | durationMs=0
users request | id=6986098a-db34-484d-bdb9-0aa3877da20f | GET /users/1 | status=200 | durationMs=1
users request | id=ff00c30a-b7c3-4653-b965-c09a79bb787e | GET /users/1 | status=200 | durationMs=0
users request | id=92fb0328-efd4-48a8-a0e0-ab8129b3ce25 | GET /users/1 | status=200 | durationMs=1
users request | id=d6eed284-7ae2-4b44-9c2d-c574236c3519 | GET /users/1 | status=200 | durationMs=1
users request | id=f9d9aa77-126e-4ff6-82bc-9da566521d6c | GET /users/1 | status=200 | durationMs=0
users request | id=d8c0efeb-23d5-42fc-b1e6-d4bb45223848 | GET /users/1 | status=200 | durationMs=1
users request | id=a620ca23-429b-4651-83b1-9388887be8dd | GET /users/1 | status=200 | durationMs=0
users request | id=95c82566-1687-41d0-9e28-bd6353c7ffcf | GET /users/1 | status=200 | durationMs=0
users request | id=1af5d308-98b4-4cb2-ab2a-38a8c5340398 | GET /users/1 | status=200 | durationMs=0
users request | id=07acf69a-e4a3-4315-a11f-bc7523a20617 | GET /users/1 | status=200 | durationMs=0
users request | id=8403ca35-450c-4da3-89fb-3227ac64c593 | GET /users/1 | status=200 | durationMs=0
users request | id=8247e668-0b4b-4adb-ba26-b696afe261bb | GET /users/1 | status=200 | durationMs=0
users request | id=af04d470-13d5-4cb7-aa1b-b5df6637dabf | GET /users/1 | status=200 | durationMs=0
users request | id=2df519b5-2d9f-4cad-b7db-3c507cf03cd6 | GET /users/1 | status=200 | durationMs=1
users request | id=605955f5-9246-458d-a477-5f075597161f | GET /users/1 | status=200 | durationMs=1
users request | id=f6eeb6de-a402-4422-833e-e85f8d2109e7 | GET /users/1 | status=200 | durationMs=0
users request | id=256e1d41-0102-4856-b4fc-454f35c3cebc | GET /users/1 | status=200 | durationMs=1
users request | id=7830019a-dfc4-4dfe-ba1d-428620e5c12a | GET /users/1 | status=200 | durationMs=0
users request | id=0e8094c7-e896-4f9c-9e38-ff0ef47c6b42 | GET /users/1 | status=200 | durationMs=0
users request | id=7eeb1258-bf7e-4e9e-a1da-a1630adc12f3 | GET /users/1 | status=200 | durationMs=0
users request | id=99295f3f-64b8-49d6-a9bb-59bd1949a7b6 | GET /users/1 | status=200 | durationMs=0
users request | id=39f8ad11-5de3-4a1f-90b0-01542701f82f | GET /users/1 | status=200 | durationMs=0
users request | id=7e803dd7-0c1a-4ea0-a70a-c469ed1008b0 | GET /users/1 | status=200 | durationMs=1
users request | id=b22e8e18-9185-4cc0-989f-7cceae4469b2 | GET /users/1 | status=200 | durationMs=1
users request | id=8f15553d-9389-4972-a1cb-8bbc9f4496fd | GET /users/1 | status=200 | durationMs=1
users request | id=d14ac024-d1f4-40d4-9c62-278aada995d7 | GET /users/1 | status=200 | durationMs=1
users request | id=c608f264-933a-44b1-86fd-5f7adc79f667 | GET /users/1 | status=200 | durationMs=1
