
> users@1.0.0 start
> node src/server.js

users listening on port 3002
users request | id=ab217f08-a6d0-4ded-96d1-8be3647908c4 | GET /users/1 | status=200 | durationMs=0
users request | id=b0de5f97-e56f-471e-a472-432c5bfba8d1 | GET /users/1 | status=200 | durationMs=0
users request | id=a2ac8c36-8350-4455-a7b1-908acbe2d20b | GET /users/1 | status=200 | durationMs=0
users request | id=64083269-5aba-44e1-9187-cba96363a3b7 | GET /users/1 | status=200 | durationMs=0
users request | id=46440636-489a-4460-9028-aca35de76d87 | GET /users/1 | status=200 | durationMs=1
users request | id=0b472694-872c-4ef0-b38e-81efe9584cce | GET /users/1 | status=200 | durationMs=0
users request | id=3e5b0cb9-f00e-4331-ac1c-d6cccccbb62f | GET /users/1 | status=200 | durationMs=1
users request | id=8d28705a-872d-45b2-9ab7-471ec1318ddd | GET /users/1 | status=200 | durationMs=1
users request | id=0aae9cc7-1b0d-4e93-9924-d31d6b6dad02 | GET /users/1 | status=200 | durationMs=0
users request | id=c31e6e43-089d-411f-b1ee-b1802ce7c501 | GET /users/1 | status=200 | durationMs=0
users request | id=b7738898-1194-4d12-a420-f6d448132201 | GET /users/1 | status=200 | durationMs=0
users request | id=20047527-f8b1-4143-b9dc-0f48c200f7b3 | GET /users/1 | status=200 | durationMs=0
users request | id=3e9f6d15-008a-4fdf-b4a5-1929d4633289 | GET /users/1 | status=200 | durationMs=0
users request | id=115a2c42-b622-439b-bc9a-177616773cd9 | GET /users/1 | status=200 | durationMs=0
users request | id=571335c5-4672-479f-ab83-56da1c9f55c0 | GET /users/1 | status=200 | durationMs=0
users request | id=e6846e7e-73b7-4153-afd2-f626db0191af | GET /users/1 | status=200 | durationMs=0
users request | id=5a83c590-36d0-4512-ac11-40945377aa12 | GET /users/1 | status=200 | durationMs=1
users request | id=e8f25251-1336-42da-b0f5-064f03166364 | GET /users/1 | status=200 | durationMs=0
users request | id=7d1a4f13-1534-49e2-ace2-58e7f93e0afb | GET /users/1 | status=200 | durationMs=0
users request | id=a8abcd4b-3192-434c-bab2-5df38ed553d4 | GET /users/1 | status=200 | durationMs=0
users request | id=845d042a-c410-477f-bd91-a43596e8d03b | GET /users/1 | status=200 | durationMs=0
users request | id=480e2afd-2f30-4d3b-a749-bfc640fa2278 | GET /users/1 | status=200 | durationMs=1
users request | id=14937c71-350f-4c4e-8058-964568b543e2 | GET /users/1 | status=200 | durationMs=0
users request | id=353cf2d9-235e-43ed-b636-775401df978c | GET /users/1 | status=200 | durationMs=0
users request | id=8cfb50b9-77f6-4e11-9bb9-fdca627a512b | GET /users/1 | status=200 | durationMs=0
users request | id=4c576e16-828e-4551-a5dd-a30e44fc5264 | GET /users/1 | status=200 | durationMs=0
users request | id=12528e7c-e30e-4faa-925d-1767dcccea56 | GET /users/1 | status=200 | durationMs=1
users request | id=d4d00fdd-4d17-41ac-a473-7b8857101099 | GET /users/1 | status=200 | durationMs=0
users request | id=253f4b4e-f100-482a-984d-c72ff6863963 | GET /users/1 | status=200 | durationMs=0
users request | id=92e3990f-c0a4-4a0b-941f-50195fe91cd7 | GET /users/1 | status=200 | durationMs=0
users request | id=38ea9732-a859-4cba-9b90-6a999d70a612 | GET /users/1 | status=200 | durationMs=1
users request | id=b6da7c5a-c3ce-47c3-947b-849dbc3fbaa2 | GET /users/1 | status=200 | durationMs=1
users request | id=e7f93cee-682f-4535-91e4-14b094710cb4 | GET /users/1 | status=200 | durationMs=0
users request | id=a0efaf26-1799-426d-9d5f-28faaa0d59fe | GET /users/1 | status=200 | durationMs=0
users request | id=af3aa399-581a-4163-9c1e-c19962620449 | GET /users/1 | status=200 | durationMs=0
users request | id=0eda33b6-f8ab-4e94-9802-ff223f47b282 | GET /users/1 | status=200 | durationMs=1
users request | id=5795f0c6-0a8b-479e-8e6a-98771a72626b | GET /users/1 | status=200 | durationMs=1
users request | id=14155a5b-68d4-466f-9251-0b3add686533 | GET /users/1 | status=200 | durationMs=0
users request | id=c54e8888-899a-4bb6-a302-ace62c1f94d6 | GET /users/1 | status=200 | durationMs=0
users request | id=9a184385-e74b-4e33-9903-f697098766f5 | GET /users/1 | status=200 | durationMs=0
users request | id=5256c4f3-c83a-4022-ab50-8a3915656fe5 | GET /users/1 | status=200 | durationMs=1
users request | id=d5a1702c-a339-4948-8918-076a4266ab9c | GET /users/1 | status=200 | durationMs=0
users request | id=7d3c8522-224b-4ccc-ab7e-3f1df754276c | GET /users/1 | status=200 | durationMs=0
users request | id=77756b32-7896-4279-88fa-f9f1be54cded | GET /users/1 | status=200 | durationMs=1
users request | id=b330fcc6-62e5-448f-a3f5-4c42ccf1a12d | GET /users/1 | status=200 | durationMs=1
users request | id=6150d230-f043-48e1-b969-816a4e3abf01 | GET /users/1 | status=200 | durationMs=0
users request | id=db304d0e-9897-44d7-877f-c2ad62abfdf8 | GET /users/1 | status=200 | durationMs=0
users request | id=559d3939-1ddb-4fce-a847-b1e04a9ff95d | GET /users/1 | status=200 | durationMs=0
users request | id=b12f901e-06f7-4707-830f-e7a4f2a4fce5 | GET /users/1 | status=200 | durationMs=0
users request | id=65ecd82e-93f5-4aa2-bdb7-5a58abe49f7e | GET /users/1 | status=200 | durationMs=0
users request | id=1a3b6c89-c4f4-430d-8dbd-1bcd20853702 | GET /users/1 | status=200 | durationMs=0
users request | id=82f7a972-69ff-46c5-8297-a44520c5f89e | GET /users/1 | status=200 | durationMs=0
users request | id=ba5e04b2-8e3f-44c4-8f8e-3d28078201aa | GET /users/1 | status=200 | durationMs=0
users request | id=5e1dd61e-7df6-44c0-82b4-e618c98b43eb | GET /users/1 | status=200 | durationMs=1
users request | id=c805ec17-e2bd-4a55-b1f1-4f92a776edc0 | GET /users/1 | status=200 | durationMs=0
users request | id=d929496b-6a2d-457b-82a5-e2fa81dcddbb | GET /users/1 | status=200 | durationMs=1
users request | id=a2252345-e3a2-4c84-b406-bd0d8bd26845 | GET /users/1 | status=200 | durationMs=0
users request | id=e98b38f1-fda9-44a6-a6dd-cdabc57277e9 | GET /users/1 | status=200 | durationMs=0
users request | id=587f9128-5351-4a4a-9938-62df9e153795 | GET /users/1 | status=200 | durationMs=0
users request | id=b7d6c5c3-2b95-48e5-88e1-d091687ec8c4 | GET /users/1 | status=200 | durationMs=0
users request | id=146c2cc0-fa2e-4586-91d1-b389843902e4 | GET /users/1 | status=200 | durationMs=0
users request | id=7eaef56a-2c88-405b-ae18-2cef804f7ae5 | GET /users/1 | status=200 | durationMs=0
users request | id=45b7e05d-3fed-448b-822f-df46a96600f1 | GET /users/1 | status=200 | durationMs=0
users request | id=23095b5d-0596-47ac-89a0-80cc4c46180a | GET /users/1 | status=200 | durationMs=0
users request | id=58850655-fc5e-48b3-879b-3451fe159252 | GET /users/1 | status=200 | durationMs=1
users request | id=5bcf6cfc-27b0-4800-a439-1932f00215fd | GET /users/1 | status=200 | durationMs=0
users request | id=5dc396db-293e-4081-8339-33fc9c75d0da | GET /users/1 | status=200 | durationMs=0
users request | id=753991f1-c749-4208-92da-0b93faef652b | GET /users/1 | status=200 | durationMs=0
users request | id=f4bd0614-71cf-453f-9127-199fad4ff9c5 | GET /users/1 | status=200 | durationMs=0
users request | id=75f3eb0c-5bf0-4759-98e4-8d84e0a88886 | GET /users/1 | status=200 | durationMs=1
users request | id=4301fb70-58fa-4d3b-bfec-4b9da01d515c | GET /users/1 | status=200 | durationMs=0
users request | id=4c39c069-01fa-4b4e-8271-260290b688a1 | GET /users/1 | status=200 | durationMs=0
users request | id=9ce3f9a4-ef7e-49f1-b833-150d7e92e56e | GET /users/1 | status=200 | durationMs=0
users request | id=87eba22c-bf1e-451a-a8e1-98a8fd29a568 | GET /users/1 | status=200 | durationMs=0
users request | id=7a9f3b50-7c2d-447e-a430-3ce091cb6a54 | GET /users/1 | status=200 | durationMs=1
users request | id=a7dc6c9b-9514-4175-86ce-80fe6f72d7c2 | GET /users/1 | status=200 | durationMs=0
users request | id=a30e6a1c-a2b9-4337-b159-82c2ee64b11e | GET /users/1 | status=200 | durationMs=0
users request | id=18de3423-4165-4f67-95a9-c9f0d1b725e2 | GET /users/1 | status=200 | durationMs=0
users request | id=23c6b57a-8f07-427f-bb72-84ccedd14ae4 | GET /users/1 | status=200 | durationMs=0
users request | id=483d77ef-f2e1-4c06-a81e-9837cb05ce62 | GET /users/1 | status=200 | durationMs=0
users request | id=54eed592-a47c-4d43-b721-ac189a450c62 | GET /users/1 | status=200 | durationMs=0
users request | id=352e403e-0dd9-4246-bee0-2607e228fab7 | GET /users/1 | status=200 | durationMs=1
users request | id=f567bca8-0d5a-4336-b32b-6b6e1f05e3b7 | GET /users/1 | status=200 | durationMs=0
users request | id=cd652f6b-2eb6-4380-9b22-22febe401fc4 | GET /users/1 | status=200 | durationMs=0
users request | id=4021d248-59a9-46ec-9092-9b629b4237e9 | GET /users/1 | status=200 | durationMs=0
users request | id=78d017c8-77ff-4fe0-bd24-de790993e7f7 | GET /users/1 | status=200 | durationMs=1
users request | id=f501f479-9633-4638-9212-efa23dc23727 | GET /users/1 | status=200 | durationMs=0
users request | id=09af9bc6-bcd0-48c6-8773-71d691705bd0 | GET /users/1 | status=200 | durationMs=0
users request | id=72d1e711-eb31-492c-9c38-2503ee94e4c1 | GET /users/1 | status=200 | durationMs=0
users request | id=c4495c56-e571-431d-813d-e4b62c8954e6 | GET /users/1 | status=200 | durationMs=0
users request | id=a98a2e42-305f-4f30-900a-6620e436d644 | GET /users/1 | status=200 | durationMs=0
users request | id=a0f70672-2d47-439f-a60e-3d32f4197c81 | GET /users/1 | status=200 | durationMs=0
users request | id=d3449cba-f6c7-4f95-9a2e-520b8ab1ac99 | GET /users/1 | status=200 | durationMs=0
