catalog cache disabled
catalog listening on port 3001
catalog request | id=7104a729-f15c-4ce1-920f-16a5c468e13a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=742505e6-fc98-4376-a63f-ec69d45932fe | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d0186e62-ae68-4ec6-81a2-070200c909c9 | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3ec6fe3e-9433-49d3-bdfd-eff4cc29271e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8f5cb85f-e328-433a-87c3-6412efd54279 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=cf22d65e-5c10-4061-99c6-396ce91df585 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bddb9b1b-c6de-47d1-a3af-4cffdadbd627 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8887e12a-51fd-4663-816c-7dcf6152a77a | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f021b252-feac-4d51-9547-9676c43cddf0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6a3d014a-419a-4085-8fba-ea2ca02ef99e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1003ff96-a6a8-4355-92b8-6b0fcb69e43a | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=347a772e-0fe1-47bf-8e73-1bf4bfa72421 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2e16368f-c3ea-427d-8082-3ef33379d169 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=405db7d5-4c78-4886-a8c5-cff8cb337fbb | GET /catalog | status=200 | durationMs=22 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d98813c2-8ee2-4420-ad19-f484344f2745 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3f426ee5-94c3-4608-86e9-e65b6aca4ca5 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1e22cbbd-a52b-423f-93e9-97d5c5a326cd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f0163910-b3d6-4093-9946-63d2effc80a2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94785cc8-edc7-47ef-bac7-b2a1a558dc8b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=babd32fa-becd-479c-8b5d-395775e517d2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c2068d73-5f7d-45f4-b46a-ad3064a76bbf | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=264e6890-c056-4dd6-a733-1d10d673b018 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
