
> catalog@1.0.0 start
> node src/server.js

catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=f016904c-ee25-41ba-9516-a105369804d7 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=79deed0d-9148-4531-be71-55e460b20b1e | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=113857bf-94b9-4439-bc2f-14387b5eb435 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=79fbb844-d350-4dd1-90f0-4ab3ecf56a3e | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=b241cb17-e678-4a52-abef-7773e2b5bbd0 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=64278135-1444-48eb-b8c2-d455ef1f87aa | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=8aab926a-cf22-4436-894f-efec31501050 | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=92a19894-ca7c-49bd-b7fc-59fa57d04a0e | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=7ac5a6ec-3a6a-4106-869f-50ead6b7a217 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=f503fe7c-ce45-4929-b1c3-061a3ea12591 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=5b4c075c-5793-4cde-9519-35a5249d2fa5 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=bc3c8d20-eaa2-4ad1-b751-1ba5899b1dcb | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=273dca13-f89d-4a23-8805-107a25e13815 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=186309f3-4896-418b-91bf-d9469dd6b2c2 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9b5b579d-0214-43a9-8709-ad2bfec567e7 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4b48a3f4-d62f-4e2f-a705-b41f536c07c5 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
