gateway listening on port 3000
gateway request | id=5ac2dc09-4236-4a10-b576-66470407ab62 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e8976603-0c84-4353-9e68-057a6e94330d | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f9603e85-022b-4dd1-a71f-f925454b4023 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=67f80284-e4de-4c18-892e-82131deaaa0c | GET /api/catalog | status=200 | durationMs=24 | upstream=catalog | cache=HIT | source=redis
gateway request | id=945f3f6d-bc51-4731-ad92-345d9b2b2d0c | GET /api/catalog | status=200 | durationMs=36 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b4a766d7-d255-4aae-b80a-690ecb603087 | GET /api/catalog | status=200 | durationMs=46 | upstream=catalog | cache=HIT | source=redis
gateway request | id=62127ebc-7405-4d0b-b5c4-fb0555d884b6 | GET /api/catalog | status=200 | durationMs=55 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9f16d176-d6ce-44ef-814b-6bd33016469d | GET /api/catalog | status=200 | durationMs=65 | upstream=catalog | cache=HIT | source=redis
gateway request | id=96ffe32a-8442-4027-a593-88d01154129c | GET /api/catalog | status=200 | durationMs=68 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e9056bc9-af88-4bed-9007-8240145e436f | GET /api/catalog | status=200 | durationMs=57 | upstream=catalog | cache=HIT | source=redis
gateway request | id=1d3a910e-b177-41e9-a429-3768238f45a3 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=70210a68-fd9d-46d9-ac96-eecb0845f409 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5f78ccd1-a685-4107-ba95-46df73ce51ca | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=bf688955-7e0a-40c1-90ff-e44056bc32d6 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4669db4c-fbbd-4fc4-99cf-09484341ce09 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d5f989fb-7932-4e1f-96f2-f412ed18d350 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c24ac948-ee29-4c7e-bfb8-b09af448d755 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=433b0330-bf0e-412a-baa7-08bd9157fab0 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=01d72bd3-dd8d-4405-9100-c9fae3699790 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b8df934d-ee79-4dba-ae37-a83728bf0fd9 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=4b092b9e-285a-47a4-90c6-8d0d5917db41 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2848cb8f-1887-469b-8089-1cbf0f6cb99d | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=66ee0676-5288-4abc-8f74-ec5a899645c9 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=313079d3-0945-494a-ab48-dbfe3fd2f5b9 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=da7d94df-3f98-4dd0-b65b-b4e28a36c1a1 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=3ba1f86a-acd5-4acd-8040-49eb72d7b195 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=64b74754-be60-4805-94ad-0c6f96185778 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8b99eff2-d451-4540-b9d9-298560b78090 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=88bcbd22-1342-4a6f-96c2-b7c5e724fbbc | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=eca6ea12-810a-4a0f-985b-04b4d27689eb | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a054b67b-f312-4582-85fd-aca43a291e54 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=56af7b38-0ffa-4ee1-8e6a-c8641fc2b08a | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=b134f8f5-4859-4b6f-b2c6-4cbe3e114861 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=dba3cae3-13bf-49cc-a8df-efe9c4e794ed | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=052be283-9da2-41d8-ae35-ef1048091019 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=8100a756-202b-4220-9b71-d46d9647947c | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fd6fc827-1034-4b79-bddf-3e6cf4af02f4 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=0f600728-0508-4130-bd8d-8b12e6dbf75e | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=c30237bf-8833-4a3a-b88f-5bcf138b206a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=19ef6558-a6b8-493f-bfc2-525ae3fbb8c8 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5627b1d3-c7ea-4e4e-b551-2e4d3d52d147 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
