users listening on port 3002
users request | id=90eb6126-8fef-445b-9485-987963c7117b | GET /users/1 | status=200 | durationMs=1
users request | id=e939dbdb-6743-4012-8294-b7e25ad8a90e | GET /users/1 | status=200 | durationMs=1
users request | id=a3b3a671-0b9b-4b4c-8dad-9bc1bd71ffd2 | GET /users/1 | status=200 | durationMs=0
users request | id=2cc7a7f0-32a7-4ad6-8c41-e5157dc23784 | GET /users/1 | status=200 | durationMs=0
users request | id=0e613c6d-ea75-4b89-b38a-f3ec30e8c503 | GET /users/1 | status=200 | durationMs=0
users request | id=aa8229f6-d2a2-4d78-8c7e-4374af667ad7 | GET /users/1 | status=200 | durationMs=0
users request | id=f6533729-dc91-42c3-b62b-692b52104edb | GET /users/1 | status=200 | durationMs=0
users request | id=962353ba-2925-45ec-9c01-d8ef1b467019 | GET /users/1 | status=200 | durationMs=1
users request | id=c1de27c3-0a8c-43d3-83d5-55fd001dd34f | GET /users/1 | status=200 | durationMs=0
users request | id=bb3f8190-73ca-4c99-879f-122ffba68181 | GET /users/1 | status=200 | durationMs=1
users request | id=fb9e7e75-ad20-48f3-b4da-723f1309b110 | GET /users/1 | status=200 | durationMs=0
users request | id=dc569d20-90ab-4ad0-9dcf-1b8fc92f6b32 | GET /users/1 | status=200 | durationMs=1
users request | id=724d1d51-9692-4731-924a-f07c3335b2cb | GET /users/1 | status=200 | durationMs=1
users request | id=c64b91f4-f091-4615-a432-9b45f1f3665e | GET /users/1 | status=200 | durationMs=0
users request | id=fad9a4d9-03e1-489c-83ae-f8a62b58fafa | GET /users/1 | status=200 | durationMs=0
users request | id=6954e5d2-1734-4032-ad72-dadd403d6c74 | GET /users/1 | status=200 | durationMs=0
users request | id=850f265c-886e-4486-af17-b35fd582db6e | GET /users/1 | status=200 | durationMs=0
users request | id=486e6f5f-3a5e-430d-931c-ee5c798593e4 | GET /users/1 | status=200 | durationMs=1
users request | id=333b8573-2f8a-413d-8134-061285ad3336 | GET /users/1 | status=200 | durationMs=1
users request | id=95815933-6767-47bd-bc40-76d779f829d2 | GET /users/1 | status=200 | durationMs=0
users request | id=f7136d85-2360-4bca-9df2-44f9f53fb278 | GET /users/1 | status=200 | durationMs=0
